1,Light Lager,1
2,Pilsner,2
3,European Amber Lager,3
4,Dark Lager,4
5,Bock,5
6,Light Hybrid Beer,6
7,Amber Hybrid Beer,7
8,English Pale Ale,8
9,Scottish & Irish Ale,9
10,American Pale Ale,10
11,Other American Ale,11
12,English Brown Ale,12
13,Porter,13
14,Stout,14
15,Strong Stout,15
16,American IPA,16
17,India Pale Ale (IPA),17
18,German Wheat & Rye Beer,18
19,Belgian & French Ale,19
20,Sour Ale,20
21,Belgian Strong Ale,21
22,Strong Ale,22
23,Fruit Beer,23
24,Spice/Herb/Vegtable Beer,24
25,Smoke-Flavored & Wood-Aged Beer,25
26,Specialty Beer,26
27,Traditional Mead,27
28,Fruit Mead,28
29,Spice & Specialty Mead,29
30,Standard Cider & Perry,30
31,Specialty Cider & Perry,31
